Libellé;Coefficient de transformation de l'euro ou du franc d'une année, en euro ou en franc d'une autre année
IdBank;001643154
Dernière mise à jour;14 Janvier 2015
Mode de représentation;Valeur absolue
Correction;Non corrigé (brut)
Période de référence de l'indice;1998
Périodicité;Annuelle
Date de début;1901
Date de fin;2014
Zone géographique;Série parisienne jusqu'en 1962, Ménages "urbains" jusqu'en 1992, France métropolitaine depuis 1993, Métropole + DOM depuis 1999
Unité de mesure;Sans objet
Puissance;0
Traitement des taxes;Sans objet
